Species,LifeHistory,Description,Lifestage,MD_begin,Year_begin,MD_end,Year_end,Thresh_hi,Thresh_lo
Chinook,fall_outmigrants,upriver migration and spawning,prespawn,1-Jun,0,30-Nov,0,20,4
Chinook,fall_outmigrants,egg incubation,incubat,15-Aug,0,30-Jun,1,13,4
Chinook,fall_outmigrants,freshwater rearing (natal),rearing,15-Apr,0,31-Oct,0,18,9
Chinook,fall_outmigrants,fry or parr outmigration (fork),outmigr0,1-Aug,0,30-Mar,1,18,9
Chinook,fall_outmigrants,parr or smolt outmigration (mstem),outmigr1,15-Feb,1,15-Jul,2,18,9
Chinook,win_outmigrants,upriver migration and spawning,prespawn,1-Jun,0,30-Nov,0,20,4
Chinook,win_outmigrants,egg incubation,incubat,15-Aug,0,30-Jun,1,13,4
Chinook,win_outmigrants,freshwater rearing (natal),rearing,15-Apr,0,31-Jan,1,18,9
Chinook,win_outmigrants,fry or parr outmigration (fork),outmigr0,1-Nov,0,15-Apr,1,18,9
Chinook,win_outmigrants,parr or smolt outmigration (mstem),outmigr1,15-Mar,1,30-Jun,2,18,9
Chinook,spr_outmigrants,upriver migration and spawning,prespawn,1-Jun,0,30-Nov,0,20,4
Chinook,spr_outmigrants,egg incubation,incubat,15-Aug,0,30-Jun,1,13,4
Chinook,spr_outmigrants,freshwater rearing (natal),rearing,15-Apr,0,30-Apr,1,18,9
Chinook,spr_outmigrants,fry or parr outmigration (fork),outmigr0,1-Mar,1,30-May,1,18,9
Chinook,spr_outmigrants,parr or smolt outmigration (mstem),outmigr1,15-Apr,1,15-Jun,2,18,9
